token_idx,phase,layer,k_required,k_hit,k_miss,ssd_read_us,h2d_us,compute_us,stall_us,cache_resident_experts,predictor
72,prefill,3,64,46,18,19733,6997,0,26730,96,eamc
72,prefill,4,64,49,15,16081,5989,0,22070,96,eamc
72,prefill,5,64,54,10,9865,3931,0,13796,96,eamc
72,prefill,6,64,50,14,23429,5514,0,28943,96,eamc
72,prefill,7,64,55,9,7711,3656,0,11367,96,eamc
72,prefill,8,64,59,5,6936,1987,0,8923,96,eamc
72,prefill,9,64,56,8,7148,3133,0,10281,96,eamc
72,prefill,10,64,55,9,5011,3523,0,8534,96,eamc
72,prefill,11,64,57,7,4349,2743,0,7092,96,eamc
72,prefill,12,64,57,7,7526,2759,0,10285,96,eamc
72,prefill,13,64,54,10,16359,3961,0,20320,96,eamc
72,prefill,14,64,54,10,11532,3970,0,15502,96,eamc
72,prefill,15,64,57,7,9927,2785,0,12712,96,eamc
72,prefill,16,64,51,13,3412,5079,0,8491,96,eamc
72,prefill,17,64,58,6,7238,2430,0,9668,96,eamc
72,prefill,18,64,54,10,9623,3950,0,13573,96,eamc
72,prefill,19,64,51,13,8676,5007,0,13683,96,eamc
72,prefill,20,64,37,27,19663,10366,0,30029,96,eamc
72,prefill,21,64,43,21,20519,8135,0,28654,96,eamc
72,prefill,22,64,45,19,9049,7257,0,16306,96,eamc
72,prefill,23,64,50,14,7649,5341,0,12990,96,eamc
72,prefill,24,64,43,21,9819,7996,0,17815,96,eamc
72,prefill,25,64,43,21,23388,8157,0,31545,96,eamc
72,prefill,26,64,45,19,14971,7342,0,22313,96,eamc
72,prefill,27,64,47,17,18585,6562,0,25147,96,eamc
72,prefill,28,64,53,11,10639,4809,0,15448,96,eamc
72,prefill,29,64,52,12,16880,5408,0,22288,96,eamc
72,prefill,30,64,57,7,8039,3091,0,11130,96,eamc
72,prefill,31,64,60,4,6898,1859,0,8757,96,eamc
72,prefill,32,64,59,5,5008,2229,0,7237,96,eamc
72,prefill,33,64,60,4,7398,1811,0,9209,96,eamc
72,prefill,34,64,57,7,10014,3117,0,13131,96,eamc
72,prefill,35,64,58,6,5951,2792,0,8743,96,eamc
72,prefill,36,64,56,8,4385,3577,0,7962,96,eamc
72,prefill,37,64,61,3,834,1332,0,2166,96,eamc
72,prefill,38,64,62,2,2411,914,0,3325,96,eamc
72,prefill,39,64,50,14,14394,6281,0,20675,96,eamc
80,prefill,0,64,54,10,11522,4219,0,15741,96,eamc
80,prefill,1,64,37,27,22116,10631,0,32747,96,eamc
80,prefill,2,64,38,26,15374,9957,0,25331,96,eamc
80,prefill,3,64,44,20,9257,7708,0,16965,96,eamc
80,prefill,4,64,48,16,11334,6215,0,17549,96,eamc
80,prefill,5,64,50,14,16657,5382,0,22039,96,eamc
80,prefill,6,64,52,12,8905,4614,0,13519,96,eamc
80,prefill,7,64,54,10,12047,3962,0,16009,96,eamc
80,prefill,8,64,58,6,13640,2385,0,16025,96,eamc
80,prefill,9,64,58,6,5116,2345,0,7461,96,eamc
80,prefill,10,64,60,4,1667,1564,0,3231,96,eamc
80,prefill,11,64,53,11,12117,4382,0,16499,96,eamc
80,prefill,12,64,61,3,735,1171,0,1906,96,eamc
80,prefill,13,64,52,12,8095,4706,0,12801,96,eamc
80,prefill,14,64,52,12,14092,4708,0,18800,96,eamc
80,prefill,15,64,58,6,3476,2343,0,5819,96,eamc
80,prefill,16,64,56,8,7031,3150,0,10181,96,eamc
80,prefill,17,64,55,9,7375,3511,0,10886,96,eamc
80,prefill,18,64,61,3,799,1175,0,1974,96,eamc
80,prefill,19,64,56,8,6034,3144,0,9178,96,eamc
80,prefill,20,64,55,9,4649,3550,0,8199,96,eamc
80,prefill,21,64,50,14,11964,5380,0,17344,96,eamc
80,prefill,22,64,54,10,4357,3915,0,8272,96,eamc
80,prefill,23,64,53,11,4993,4200,0,9193,96,eamc
80,prefill,24,64,53,11,2857,4203,0,7060,96,eamc
80,prefill,25,64,52,12,13313,4613,0,17926,96,eamc
80,prefill,26,64,53,11,10789,4325,0,15114,96,eamc
80,prefill,27,64,53,11,12754,4662,0,17416,96,eamc
80,prefill,28,64,54,10,8090,4223,0,12313,96,eamc
80,prefill,29,64,52,12,10622,5393,0,16015,96,eamc
80,prefill,30,64,59,5,3942,2196,0,6138,96,eamc
80,prefill,31,64,62,2,4884,911,0,5795,96,eamc
80,prefill,32,64,59,5,1495,2220,0,3715,96,eamc
80,prefill,33,64,60,4,3166,1792,0,4958,96,eamc
80,prefill,34,64,61,3,735,1298,0,2033,96,eamc
80,prefill,35,64,59,5,1752,2397,0,4149,96,eamc
80,prefill,36,64,54,10,5306,4575,0,9881,96,eamc
80,prefill,37,64,59,5,3813,2239,0,6052,96,eamc
80,prefill,38,64,61,3,3380,1427,0,4807,96,eamc
80,prefill,39,64,58,6,6464,2673,0,9137,96,eamc
88,prefill,0,64,60,4,1177,1561,0,2738,96,eamc
88,prefill,1,64,48,16,17103,6288,0,23391,96,eamc
88,prefill,2,64,40,24,15535,9307,0,24842,96,eamc
88,prefill,3,64,48,16,11915,6149,0,18064,96,eamc
